timestamp,avg_players,peak_players
2024-11-23 02:01:12,629712,629712
2024-11-23 03:01:07,666200,666200
2024-11-23 04:02:06,676120,676120
2024-11-23 05:01:11,741473,741473
2024-11-23 06:01:34,819340,819340
2024-11-23 07:01:59,891843,891843
2024-11-23 08:01:34,960281,960281
2024-11-23 09:01:28,972692,972692
2024-11-23 10:01:26,951671,951671
2024-11-23 11:01:27,1005037,1005037
2024-11-23 12:00:47,1189894,1189894
2024-11-23 13:01:46,1348055,1348055
2024-11-23 14:01:24,1525073,1525073
2024-11-23 15:01:36,1508724,1508724
2024-11-23 16:01:50,1328137,1328137
2024-11-23 17:00:47,1190849,1190849
2024-11-23 18:01:34,1110136,1110136
2024-11-23 19:01:43,1072729,1072729
2024-11-23 20:01:34,1035897,1035897
2024-11-23 21:01:03,967971,967971
2024-11-23 22:02:56,899542,899542
2024-11-23 23:00:47,802568,802568
2024-11-24 00:01:48,702763,702763
2024-11-24 01:00:46,637020,637020
2024-11-24 02:01:42,628656,628656
2024-11-24 03:00:42,668174,668174
2024-11-24 04:01:39,652883,652883
2024-11-24 05:02:37,734809,734809
2024-11-24 06:00:45,851984,851984
2024-11-24 07:01:31,938722,938722
2024-11-24 08:01:33,1003306,1003306
2024-11-24 09:01:28,1011967,1011967
2024-11-24 10:01:04,973656,973656
2024-11-24 11:01:48,1025358,1025358
2024-11-24 12:01:44,1206402,1206402
2024-11-24 13:01:40,1395973,1395973
2024-11-24 14:01:34,1503204,1503204
2024-11-24 15:02:21,1384322,1384322
2024-11-24 16:01:53,1155629,1155629
2024-11-24 17:01:15,1063269,1063269
2024-11-24 18:02:05,1030931,1030931
2024-11-24 19:01:43,1015582,1015582
2024-11-24 20:02:03,981429,981429
2024-11-24 21:01:37,875245,875245
2024-11-24 22:01:55,765661,765661
2024-11-24 23:01:03,656068,656068
2024-11-25 00:00:28,584764,584764
2024-11-25 01:01:46,545181,545181
2024-11-25 02:01:32,535336,535336
2024-11-25 03:02:23,561108,561108
2024-11-25 04:01:26,559431,559431
2024-11-25 05:01:00,628828,628828
2024-11-25 06:01:29,619105,619105
2024-11-25 07:01:27,631384,631384
2024-11-25 08:01:33,688177,688177
2024-11-25 09:01:36,778108,778108
2024-11-25 10:01:52,788659,788659
2024-11-25 11:01:22,866656,866656
2024-11-25 12:01:43,1047788,1047788
2024-11-25 13:01:13,1242782,1242782
2024-11-25 14:01:29,1396001,1396001
2024-11-25 15:01:00,1254840,1254840
2024-11-25 16:01:34,1038614,1038614
2024-11-25 17:01:06,955414,955414
2024-11-25 18:00:27,927507,927507
2024-11-25 19:01:31,952148,952148
2024-11-25 20:01:27,935082,935082
2024-11-25 21:01:59,849061,849061
2024-11-25 22:00:30,752021,752021
2024-11-25 23:01:30,645035,645035
2024-11-26 00:00:41,572736,572736
2024-11-26 01:01:29,544903,544903
2024-11-26 02:01:28,551415,551415
2024-11-26 03:00:48,578709,578709
2024-11-26 04:01:38,573550,573550
2024-11-26 05:00:29,651604,651604
2024-11-26 06:01:40,633375,633375
2024-11-26 07:00:30,643889,643889
2024-11-26 08:02:05,702495,702495
2024-11-26 09:01:34,791277,791277
2024-11-26 10:01:29,797499,797499
2024-11-26 11:01:36,869266,869266
2024-11-26 12:00:58,1032133,1032133
2024-11-26 13:01:41,1257745,1257745
2024-11-26 14:00:49,1421019,1421019
2024-11-26 15:01:33,1292052,1292052
2024-11-26 16:01:04,1086379,1086379
2024-11-26 17:01:37,986155,986155
2024-11-26 18:01:36,972826,972826
2024-11-26 19:00:40,972683,972683
2024-11-26 20:01:30,938820,938820
2024-11-26 21:01:43,845800,845800
2024-11-26 22:01:18,741719,741719
2024-11-26 23:02:04,649001,649001
2024-11-27 00:01:48,434922,434922
2024-11-27 01:01:46,448547,448547
2024-11-27 02:01:07,497922,497922
2024-11-27 03:01:48,569504,569504
2024-11-27 04:00:59,575283,575283
2024-11-27 05:01:55,688201,688201
2024-11-27 06:02:30,671736,671736
2024-11-27 07:01:19,684905,684905
2024-11-27 08:00:53,747887,747887
2024-11-27 09:01:36,840691,840691
2024-11-27 10:01:05,846424,846424
2024-11-27 11:01:32,924485,924485
2024-11-27 12:02:21,1118533,1118533
2024-11-27 13:01:34,1328138,1328138
2024-11-27 14:00:39,1500453,1500453
2024-11-27 15:01:57,1361943,1361943
2024-11-27 16:00:56,1112232,1112232
2024-11-27 17:01:37,1017484,1017484
2024-11-27 18:01:02,1011863,1011863
2024-11-27 19:00:43,1005111,1005111
2024-11-27 20:01:35,956152,956152
2024-11-27 21:01:03,858679,858679
2024-11-27 22:01:39,758288,758288
2024-11-27 23:01:28,632036,632036
2024-11-28 00:01:29,604915,604915
2024-11-28 01:01:04,567627,567627
2024-11-28 02:03:16,561573,561573
2024-11-28 03:01:18,604304,604304
2024-11-28 04:02:14,607859,607859
2024-11-28 05:01:03,698402,698402
2024-11-28 06:00:51,678058,678058
2024-11-28 07:01:36,688620,688620
2024-11-28 08:00:36,746795,746795
2024-11-28 09:01:31,840181,840181
2024-11-28 10:01:28,846193,846193
2024-11-28 11:01:30,913492,913492
2024-11-28 12:01:46,1095875,1095875
2024-11-28 13:01:09,1281965,1281965
2024-11-28 14:01:26,1463260,1463260
2024-11-28 15:01:32,1343559,1343559
2024-11-28 16:01:08,1116374,1116374
2024-11-28 17:01:36,1016861,1016861
2024-11-28 18:00:54,978868,978868
2024-11-28 19:02:24,965254,965254
2024-11-28 20:02:28,934637,934637
2024-11-28 21:00:53,864546,864546
2024-11-28 22:01:03,747190,747190
2024-11-28 23:01:47,660048,660048
2024-11-29 00:01:04,588761,588761
2024-11-29 01:00:35,561895,561895
2024-11-29 02:01:46,561149,561149
2024-11-29 03:01:32,594024,594024
2024-11-29 04:01:07,594277,594277
2024-11-29 05:01:42,682645,682645
2024-11-29 06:00:33,679923,679923
2024-11-29 07:01:18,705744,705744
2024-11-29 08:01:39,765824,765824
2024-11-29 09:01:27,853148,853148
2024-11-29 10:01:39,874695,874695
2024-11-29 11:01:28,956860,956860
2024-11-29 12:01:29,1156666,1156666
2024-11-29 13:01:50,1365124,1365124
2024-11-29 14:00:44,1508609,1508609
2024-11-29 15:00:32,1479726,1479726
2024-11-29 16:01:18,1308778,1308778
2024-11-29 17:00:32,1177392,1177392
2024-11-29 18:01:33,1100609,1100609
2024-11-29 19:01:33,1071382,1071382
2024-11-29 20:01:29,1030257,1030257
2024-11-29 21:01:16,999713,999713
2024-11-29 22:01:39,920546,920546
2024-11-29 23:00:52,814059,814059
2024-11-30 00:00:51,708257,708257
2024-11-30 01:03:17,646016,646016
2024-11-30 02:00:33,648950,648950
2024-11-30 03:01:00,687731,687731
2024-11-30 04:02:06,692097,692097
2024-11-30 05:01:01,772913,772913
2024-11-30 06:01:38,871321,871321
2024-11-30 07:01:06,936460,936460
2024-11-30 08:01:34,1016818,1016818
2024-11-30 09:00:52,1043423,1043423
2024-11-30 10:01:34,1010206,1010206
2024-11-30 11:01:31,1063991,1063991
2024-11-30 12:01:30,1255132,1255132
2024-11-30 13:02:56,1444769,1444769
2024-11-30 14:01:29,1556938,1556938
2024-11-30 15:01:29,1514768,1514768
2024-11-30 16:01:39,1342093,1342093
2024-11-30 17:01:29,1209213,1209213
2024-11-30 18:01:16,1121155,1121155
2024-11-30 19:00:30,1062588,1062588
2024-11-30 20:01:10,1065208,1065208
2024-11-30 21:01:35,1012415,1012415
2024-11-30 22:01:33,927756,927756
2024-11-30 23:01:27,813799,813799
2024-12-01 00:01:34,713477,713477
2024-12-01 01:01:27,649959,649959
2024-12-01 02:01:56,648254,648254
2024-12-01 03:02:21,686286,686286
2024-12-01 04:01:37,697888,697888
2024-12-01 05:00:57,761812,761812
2024-12-01 06:01:37,867842,867842
2024-12-01 07:01:30,957946,957946
2024-12-01 08:00:39,1009935,1009935
2024-12-01 09:01:35,1034216,1034216
2024-12-01 10:01:28,976303,976303
2024-12-01 11:00:38,988148,988148
2024-12-01 12:01:31,1187231,1187231
2024-12-01 13:02:21,1388835,1388835
2024-12-01 14:02:04,1504816,1504816
2024-12-01 15:01:40,1354397,1354397
2024-12-01 16:01:32,1139973,1139973
